panel,sensitivity_group,sensitivity_id,poverty_threshold,composition_threshold,threshold_value,model,model_name,direction,direction_label,mean_blockage_pct,sem_blockage_pct,sd_blockage_pct,median_blockage_pct,mean_blockage_ratio,sem_blockage_ratio,delta_mean_blockage_ratio,city_count,Los Angeles,San Diego,"Washington, D.C",Miami,Atlanta,Chicago,Boston,Detroit,New York,Pittsburgh,Philadelphia,Dallas,San Francisco,Houston,Phoenix,St. Louis
Panel A: Poverty Sensitivity,poverty_threshold,P25,25,50,25,Choice_IOM,Choice-IOM (τ = 0.5),HPM_to_LPW,HPM → LPW,34.11429150098919,3.6845540279607905,14.738216111843162,30.88047554299407,0.3411429150098919,0.0368455402796079,-0.0037652310759921,16,39.6561221839438,28.76783270243276,12.72556390977443,24.42094527496712,31.60956690368455,49.49516383824204,27.91132478632478,68.32277913929265,54.56177953223479,37.085885132854315,38.58732834872697,30.15138418230358,10.327767470624611,25.13082876281731,40.09987591174601,26.97451593585734
Panel A: Poverty Sensitivity,poverty_threshold,P25,25,50,25,Choice_IOM,Choice-IOM (τ = 0.5),LPW_to_HPM,LPW → HPM,48.82710612752848,3.278723973270975,13.1148958930839,45.63730461183762,0.4882710612752848,0.03278723973270975,-0.0022795104905704,16,61.35329391073135,38.07552650689905,38.02005012531328,39.70175116175273,39.199379801254494,64.9808996577291,49.06761673741661,66.44446489906453,77.58729136337197,37.23500547853842,52.60042515760153,54.39428479936566,45.887445887445885,41.516678564338235,45.38716333622936,29.78242065340342
Panel A: Poverty Sensitivity,poverty_threshold,P30_Baseline,30,50,30,Gravity,Gravity Model,HPM_to_LPW,HPM → LPW,39.873590208837975,4.63719150852654,18.54876603410616,35.53694245341942,0.3987359020883798,0.0463719150852654,0.0,16,67.42303997082661,39.59032817069208,13.065418845765661,29.293184276956357,32.11600429645542,66.26572051197499,29.099222198864833,69.11965098429967,64.67549267281603,47.001820323375085,38.377925272429955,31.044037710208933,10.300429184549351,32.69595963440888,41.051383720280846,26.857825567502978
Panel A: Poverty Sensitivity,poverty_threshold,P30_Baseline,30,50,30,Gravity,Gravity Model,LPW_to_HPM,LPW → HPM,52.58907422242003,3.83513954381298,15.34055817525192,47.265312072258034,0.5258907422242003,0.0383513954381298,0.0,16,79.3945641592092,48.799611995796624,38.2879163225984,43.18549111151014,39.55871822413175,76.50129021923789,47.89025150696321,66.22492122909541,81.15962375403623,46.640372637552865,52.19730387104753,56.93264820791575,45.7388105456775,43.77062184079728,44.92400569260923,30.21903624054162
Panel A: Poverty Sensitivity,poverty_threshold,P30_Baseline,30,50,30,IOM,Intervening Opportunities (IOM),HPM_to_LPW,HPM → LPW,36.05484964057029,3.663427250470245,14.65370900188098,35.24696478444269,0.3605484964057029,0.03663427250470245,0.0,16,42.82268626781415,39.74782104993736,13.065418845765661,29.293184276956357,32.11600429645542,54.56222647828943,29.099222198864833,69.02122944284537,46.06612443100897,46.48696660986839,38.377925272429955,31.044037710208933,10.300429184549351,26.99827249123315,41.01822012539433,26.857825567502978
Panel A: Poverty Sensitivity,poverty_threshold,P30_Baseline,30,50,30,IOM,Intervening Opportunities (IOM),LPW_to_HPM,LPW → HPM,50.93283981001952,3.1244284491077847,12.497713796431139,47.20977850517626,0.5093283981001953,0.03124428449107785,0.0,16,69.43766704462622,48.81322616691573,38.2879163225984,43.19161160586038,39.55871822413175,70.66324640535035,47.89025150696321,66.20433373126123,71.10118757018014,46.52930550338932,52.19730387104753,56.93264820791575,45.7388105456775,43.27224348112484,44.88793053272839,30.21903624054162
Panel A: Poverty Sensitivity,poverty_threshold,P30_Baseline,30,50,30,Choice_IOM,Choice-IOM (τ = 0.5),HPM_to_LPW,HPM → LPW,34.4908146085884,3.6617919939914625,14.64716797596585,30.410794847009658,0.344908146085884,0.036617919939914624,0.0,16,41.40450012546818,29.9624325406663,13.065418845765661,26.16741133209442,30.60781141668592,50.09330083214256,29.099222198864833,67.72727402987812,54.78061555780549,37.2715587101101,38.377925272429955,30.213778277333393,10.300429184549351,24.952715329293838,40.97081451682333,26.857825567502978
Panel A: Poverty Sensitivity,poverty_threshold,P30_Baseline,30,50,30,Choice_IOM,Choice-IOM (τ = 0.5),LPW_to_HPM,LPW → HPM,49.05505717658552,3.2428457865302227,12.97138314612089,45.24792438900125,0.4905505717658552,0.032428457865302227,0.0,16,62.23875628649315,40.15208411565903,38.2879163225984,40.48115539079394,39.284258210645525,65.33448593711941,47.89025150696321,65.76624662961537,77.24932624473875,37.43926678445229,52.19730387104753,56.54510055580331,45.7388105456775,41.29987795089447,44.757038232325,30.21903624054162
Panel A: Poverty Sensitivity,poverty_threshold,P35,35,50,35,Gravity,Gravity Model,HPM_to_LPW,HPM → LPW,40.710161745603344,4.5656882849325475,18.26275313973019,36.41252690101922,0.4071016174560334,0.045656882849325474,0.0083657153676536,16,67.35850715347775,40.86390483320855,13.892063492063489,31.04235071512048,34.10838740687335,66.9940081520411,29.57142857142857,68.91301646474061,65.41511971677056,47.787591739204636,38.7166663951651,33.37598962598962,12.10300429184549,33.247371553263235,42.457903618976175,25.51527419948473
Panel A: Poverty Sensitivity,poverty_threshold,P35,35,50,35,Gravity,Gravity Model,LPW_to_HPM,LPW → HPM,53.29718912810084,3.7663305869649952,15.065322347859981,48.65205014491123,0.5329718912810084,0.03766330586964995,0.0070811490568081,16,79.18797752099513,49.00723888314374,40.21587301587301,44.40053434264722,41.66666666666667,76.30155461100642,48.29686140667871,66.29046287666978,81.53654980555051,47.89528706449617,51.568736051607026,57.72420147420148,51.072961373390555,43.883123301210766,44.71362260946973,28.99337504600662
